,path,height,width,ratio_(w/h),intensity,mean_red,mean_green,mean_blue,std_red,std_green,std_blue
14,chsodl.png,224,224,1.0,24125952,165.17960778061226,158.6357421875,157.01118064413265,84.00563229135378,87.90658649961996,87.67017579726617
15,896am9.jpg,224,224,1.0,11257732,79.7813496492347,75.39869658801021,69.18482940051021,70.20489359298921,64.35706560457028,59.90844682013864
16,7v36c0.jpg,224,224,1.0,29998349,208.55580357142858,198.46137595663265,190.84532445790816,39.0814361627493,54.161280072944244,57.64732446453418
17,8xb5x6.jpg,224,224,1.0,11834347,87.87990274234694,78.46101721938776,69.51580436862245,63.6644684786908,60.13411711009544,53.50605599633706
18,9iqkja.jpg,224,224,1.0,20634680,164.9843152104592,141.39259805484693,104.86910076530613,45.76963956872948,48.90379391101528,57.70629866460791
19,axvxo2.jpg,224,224,1.0,9220602,58.27208227040816,61.00091677295919,64.4921875,60.96214728079276,56.10647504991624,53.39074831177565
20,b3fxwq.jpg,224,224,1.0,18113940,142.83252949617346,120.6547552614796,97.52076690051021,58.97431830664654,58.01758238826349,59.16981436187287
21,9ect1s.jpg,224,224,1.0,25757239,177.13737643494898,168.9629504145408,167.2375039859694,78.67481378828938,83.6056196423331,85.69077787118722
22,6hz9be.jpg,224,224,1.0,16060158,139.7227160395408,106.86457669005102,73.48919802295919,67.52396251669504,58.05237995578604,41.78925459698191
23,aw1l6k.jpg,224,224,1.0,23085496,169.47136080994898,148.94475446428572,141.67428651147958,63.049765235999494,70.17077991714774,75.69389753824805
24,bcpj1p.jpg,224,224,1.0,22927799,175.29408482142858,145.84078045280611,135.8126594387755,61.21848752111495,69.61694673039811,68.6766615151662
25,azffrf.jpg,224,224,1.0,19236420,165.71091757015307,113.62187101403062,104.04611766581633,58.02216219850235,72.68460711692437,69.88844679409468
26,6dugrz.jpg,224,224,1.0,17497420,156.1105110012755,114.7635722257653,77.84681919642857,58.855151810363154,61.94204846476169,62.754455973310876
27,7edi1n.jpg,224,224,1.0,20576550,161.11571269132654,135.24565529336735,113.72612404336735,57.00600314330137,61.72874225701066,50.381363776102475
28,7hhqft.jpg,224,224,1.0,19161187,143.30040258290816,127.53402024872449,111.04510124362245,59.690472170608366,58.33702789386878,58.19175022151666
29,91uibs.jpg,224,224,1.0,18841463,147.54233099489795,121.09004304846938,106.8750996492347,50.34818421945885,52.909344544653266,50.67143763528033
30,7gmt57.jpg,224,224,1.0,18776744,133.71143574617346,124.15567203443878,116.35052614795919,35.35231379308475,36.40169675853162,41.03727688857779
31,83g71e.jpg,224,224,1.0,18191226,140.56325733418367,125.97807716836735,96.00701530612245,52.8663129301983,52.302968213993786,47.103648876243106
32,d7nsys.jpg,224,224,1.0,12854735,112.31716358418367,87.94230309311224,55.93343431122449,67.23430866168663,61.13078777209638,54.65503367018146
33,g24iq3.jpg,224,224,1.0,18733761,164.39305644132654,120.50542091836735,88.46251195790816,59.325066970440055,66.31652935459722,66.73876929333922
34,bxz1ij.jpg,224,224,1.0,21568716,176.7464524872449,140.0841438137755,113.03061224489795,29.588245859788405,45.60120612982318,54.00798813691448
35,bsbkg7.jpg,224,224,1.0,16404147,147.24956154336735,99.03661112882654,80.6459661989796,69.31478889206016,58.81000479721941,59.60685613903379
36,6j6r2i.jpg,224,224,1.0,16911875,129.92739556760205,105.38773517219387,101.73594945790816,58.95074030076625,57.50861071497112,63.29744967666667
37,7tidr7.jpg,224,224,1.0,19877329,148.2000956632653,130.12240911989795,117.8296197385204,58.498086539795295,64.75775758035824,75.90845722271379
38,69st8h.jpg,224,224,1.0,21509750,149.67990672831633,143.56652582908163,135.43959263392858,79.9130878016876,85.97809777802921,88.46556746429204
39,50yjq4.jpg,224,224,1.0,19216267,142.69224330357142,127.42366868622449,112.86134805484694,61.769518421569714,69.80694006871794,71.90064349534705
40,clsm74.jpg,224,224,1.0,23423685,167.02774234693877,153.35297751913265,146.44973692602042,61.74424854033909,67.85352072909701,73.06046248813743
